file,class,Lmax,J_leak,EQE_100,Eplateau,noiseL,offL,L_min_trust
2021-08-25_CBP with BSBCz_d43_p5_jvl_eval.csv,reliable,1782.69,1e-05,1.8621209849964329,1.855,1.1805025305267731,2.353343059216402,12.0
2021-08-25_CBP with BSBCz_d43_p8_jvl_eval.csv,reliable,1641.69,0.00064,1.763773304710669,1.73,2.007035475534918,4.503129572297433,20.0
2021-08-25_CBP with BSBCz_d44_p1_jvl_eval.csv,reliable,1875.96,0.00374,0.8395662609439755,1.735,0.9228659927484268,0.8486473247927656,9.0
2021-08-25_CBP with BSBCz_d44_p4_jvl_eval.csv,reliable,2235.67,9e-05,2.219523860291644,2.145,2.149475113087445,4.131975065566287,21.0
2021-08-25_CBP with BSBCz_d44_p5_jvl_eval.csv,reliable,2351.0,1e-05,2.2366617344191666,2.16,2.4814145231209976,2.5655759988900733,25.0
2021-08-25_CBP with BSBCz_d44_p8_jvl_eval.csv,reliable,2119.53,1e-05,2.0026639238162662,2.05,0.9030309082138086,0.2574300162858324,9.0
2021-08-25_Seonils-devices_d13_p1_jvl_eval.csv,leaky,991.68,0.08553,4.109260651467217,4.26,0.5465785363731204,-0.6881212047360831,5.0
2021-08-25_Seonils-devices_d13_p5_jvl_eval.csv,reliable,981.53,0.00389,4.705976351930709,4.36,1.353321034277081,5.194464983300091,14.0
2021-08-25_Seonils-devices_d13_p8_jvl_eval.csv,dead,0.0,8.42153,,,,,
2021-08-25_Seonils-devices_d32_p4_jvl_eval.csv,reliable,6029.37,0.0021,17.41855341012524,18.0,0.9604849405422368,-1.0160705055730834,10.0
2021-08-25_test_d11_p1_jvl_eval.csv,reliable,4856.11,0.00809,14.997718658189855,15.53,0.5228709820483384,-0.9315322997006796,5.0
2021-08-25_test_d11_p5_jvl_eval.csv,leaky,4148.16,1.65227,5.181624885920111,13.165,0.6741999035909275,-0.1470837688208206,7.0
2021-08-25_test_d11_p8_jvl_eval.csv,leaky,4707.43,0.07654,14.427602325099766,15.8,1.106989393780132,0.1026523105600178,11.0
2021-08-26_seonils-devices-st-andrews_d11_p4_jvl_eval.csv,reliable,4750.77,0.00047,15.986005659917362,15.87,0.7904832860587533,0.3889936229458804,8.0
2021-08-31_GE_d12_p1_jvl_eval.csv,leaky,187.56,1.45664,0.12,,,,
2021-08-31_GE_d14_p1_jvl_eval.csv,reliable,593.38,0.00296,0.14,0.12,0.209077577852962,0.2462609461735807,2.0
2021-08-31_GE_d14_p4_jvl_eval.csv,reliable,588.71,0.00254,0.15,0.14,0.1068243291167732,-0.3054111995334712,1.0
2021-08-31_GE_d14_p8_jvl_eval.csv,leaky,593.75,0.01259,0.1597507869585898,0.14,0.2696106562461322,-0.2849346198935882,3.0
2021-08-31_GE_d21_p1_jvl_eval.csv,dead,0.0,0.00069,,,,,
2021-08-31_GE_d21_p5_jvl_eval.csv,dead,0.0,0.00089,,,,,
2021-08-31_GE_d21_p8_jvl_eval.csv,dead,0.0,0.00184,,,,,
2021-08-31_GE_d22_p1_jvl_eval.csv,reliable,501.83,0.00019,0.12,0.1,0.324949744326175,0.0860340562798396,3.0
2021-08-31_GE_d22_p4_jvl_eval.csv,marginal,492.84,0.00093,0.12,,,,
2021-08-31_GE_d22_p5_jvl_eval.csv,marginal,198.01,0.00107,0.12,,,,
2021-08-31_GE_d22_p8_jvl_eval.csv,reliable,506.67,0.00031,0.12,0.1,0.1809477986486168,0.3415094215178584,2.0
