file,noiseL,offL,pdnoise,LperPD,Eplateau,n_1_10,n_10_100,gain
2021-09-09_CBP with BSBCz_d11_p5_jvl_eval.csv,1.991156012848365,-2.629758186376541,5.163852736717537e-05,38559.50419906952,2.865,0,4,
2021-09-09_CBP with BSBCz_d33_p8_jvl_eval.csv,1.890957426335539,1.5273603988110842,4.085584195953159e-05,46283.64844882073,2.585,0,3,
2021-09-09_CBP with BSBCz_d44_p8_jvl_eval.csv,0.9154901131173986,0.26098180315388536,2.0696430180642803e-05,44234.203924387344,2.82,0,3,
2021-09-09_RED-PIN-TOP-2nd-MC_d11_p1_jvl_eval.csv,0.6884363094795896,0.3488890956836003,1.5884452566372357e-05,43340.2603333665,20.79,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d11_p4_jvl_eval.csv,1.3551608012182261,-1.1051763863284751,3.126795040008575e-05,43340.25044425393,19.02,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d11_p5_jvl_eval.csv,0.686669245019186,0.8884753280827964,1.5843680829347144e-05,43340.25990647787,21.22,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d12_p1_jvl_eval.csv,0.7067252226306758,-0.21643286658894761,1.665319455506627e-05,42437.816978225026,15.21,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d12_p4_jvl_eval.csv,0.6784745217900543,-1.5638338558150047,1.5987495113369074e-05,42437.82512388072,14.72,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d12_p5_jvl_eval.csv,0.6702882095018934,-2.0603565195131464,1.5794592956662945e-05,42437.82738441084,11.45,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d13_p1_jvl_eval.csv,1.491570807348665,0.7128034944208128,3.0132595861182175e-05,49500.242668112005,13.01,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d13_p4_jvl_eval.csv,0.8864674418872789,1.0865302337545597,1.7908346905532314e-05,49500.23843984327,12.47,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d13_p5_jvl_eval.csv,1.1151759699600248,0.8142789659222173,2.252869774803289e-05,49500.24108949649,13.57,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d14_p1_jvl_eval.csv,1.13412221249465,-1.2482417956322567,2.235096319077895e-05,50741.53640781531,11.41,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d14_p4_jvl_eval.csv,1.3404461948826378,1.783565623475864,2.6417129333487813e-05,50741.55401069314,13.8,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d14_p5_jvl_eval.csv,0.9626847546913289,-0.9311073270804762,1.8972319017159946e-05,50741.5437101077,12.27,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d21_p1_jvl_eval.csv,1.063376987837025,0.7756525296495079,2.5362483229280916e-05,41927.16376483826,22.15,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d21_p5_jvl_eval.csv,1.0083770511926917,-1.6791824217235147,2.4050692990708883e-05,41927.15160358339,20.79,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d21_p8_jvl_eval.csv,0.9254652850916942,1.2179840780304754,2.2073167471439667e-05,41927.162754921694,19.95,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d22_p5_jvl_eval.csv,0.7171287840834476,1.2369463303711905,1.8291345858993898e-05,39205.905875473545,21.07,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d22_p8_jvl_eval.csv,1.0368023897830576,-2.546422887503183,2.6445063601528526e-05,39205.89511167334,20.49,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d23_p1_jvl_eval.csv,0.718708156263995,1.3076041557094786,1.5060064925343303e-05,47722.779405455425,20.66,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d23_p5_jvl_eval.csv,1.180990574613193,-0.4438218069655841,2.4746896550656384e-05,47722.77494253592,16.13,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d23_p8_jvl_eval.csv,1.2346609278802627,0.164643565219247,2.5871525531621306e-05,47722.77252731797,19.41,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d24_p1_jvl_eval.csv,0.6408645380329951,-2.6878672269168233,1.2815539612343897e-05,50006.832128685084,15.82,0,1,
2021-09-09_RED-PIN-TOP-2nd-MC_d24_p4_jvl_eval.csv,1.1861969933128638,0.5425742026568413,2.3720695371107673e-05,50006.83895454759,14.54,0,1,
