case,k,U_k (power at pass k),p_k,A'_k,eta_ext^(k),fraction >60 deg,cumulative eta_ext,p (cos.sin),A' (cos.sin),eq3
Ag n_sub 1.5,125,1.9908686640849917e-08,0.05070607814185421,0.054588105153025035,1.0094914205126248e-09,0.9365726218279009,0.9112542270566348,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,126,1.786561060335351e-08,0.05070474779130126,0.05458813814424812,9.058712797806373e-10,0.9365739632908041,0.9112542279625061,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,127,1.6032221694939574e-08,0.05070353317938775,0.054588168264830816,8.128902846486688e-10,0.9365751880484035,0.9112542287753964,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,128,1.4386995131886666e-08,0.05070242423964728,0.05458819576452223,7.294555307106579e-10,0.936576306251227,0.9112542295048519,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,129,1.2910616404858499e-08,0.05070141178071279,0.05458822087134829,6.545864786855565e-10,0.9365773271673977,0.9112542301594384,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,130,1.1585754187655929e-08,0.050700487410315756,0.05458824379349991,5.874033843302625e-10,0.9365782592592693,0.9112542307468418,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,131,1.039685660140808e-08,0.05069964346587371,0.05458826472105882,5.271169228572052e-10,0.936579110253417,0.9112542312739587,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,132,9.329968427983333e-09,0.05069887295109721,0.05458828382757175,4.730188839680751e-10,0.9365798872045603,0.9112542317469775,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,133,8.372567115062162e-09,0.05069816947809506,0.054588301271487505,4.244738265661469e-10,0.9365805965539401,0.9112542321714513,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,134,7.51341563814191e-09,0.05069752721450378,0.05458831719747026,3.8091159378857776e-10,0.9365812441826317,0.9112542325523629,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,135,6.7424304844465205e-09,0.05069694083520487,0.05458833173759958,3.4182059935546697e-10,0.9365818354602292,0.9112542328941835,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,136,6.0505632027121015e-09,0.05069640547823407,0.05458834501246279,3.0674180549637526e-10,0.9365823752893054,0.9112542332009254,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,137,5.4296941232751665e-09,0.05069591670451871,0.05458835713215615,2.752633210045726e-10,0.9365828681460096,0.9112542334761887,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,138,4.872536996738678e-09,0.050695470461111954,0.05458836819719737,2.470155553888408e-10,0.9365833181171406,0.9112542337232042,0.4273761614677933,0.02755034248112953,0.9644005268479652
