angle_deg,Al,Ag,ITO_50_nm_+_chirped_DBR,ITO_50_nm_+_plain_quarter-wave_DBR,weight
3.164078212290502634e+01,1.625558816428037545e+01,4.420624799008054495e+00,4.371380821425319141e+00,1.488954416962262606e+01,8.932487788683305396e-01
3.214301675977653616e+01,1.629328481795175776e+01,4.448789635856165603e+00,4.513243256512888379e+00,1.600387934039680005e+01,9.009934879353355131e-01
3.264525139664804243e+01,1.632653564742278007e+01,4.476437052371795566e+00,4.673952926638613725e+00,1.720426810349755442e+01,9.084612870423892650e-01
3.314748603351955580e+01,1.635490657817033622e+01,4.503407953000094111e+00,4.854991759213788782e+00,1.848062637068563774e+01,9.156498810475404149e-01
3.364972067039106207e+01,1.637797080055904786e+01,4.529535950773766473e+00,5.057903654902762725e+00,1.982187769330637650e+01,9.225570606193070899e-01
3.415195530726256834e+01,1.639531475427288143e+01,4.554648004035444231e+00,5.284278466623792525e+00,2.121694334260340042e+01,9.291807029156885500e-01
3.465418994413407461e+01,1.640654502706076912e+01,4.578565268611378691e+00,5.535722712471358165e+00,2.265783626291321085e+01,9.355187722365966296e-01
3.515642458100558798e+01,1.641129621648779136e+01,4.601104206272099262e+00,5.813777827832311118e+00,2.414430936551491413e+01,9.415693206495038270e-01
3.565865921787709425e+01,1.640923976978333343e+01,4.622077985550365753e+00,6.119762051673605541e+00,2.568562390493095293e+01,9.473304885881191906e-01
3.616089385474860052e+01,1.640009376942374075e+01,4.641298195682452388e+00,6.454497586821772437e+00,2.729815517355694965e+01,9.528005054239038207e-01
3.666312849162011389e+01,1.638363356973828644e+01,4.658576860392193986e+00,6.817885585752836874e+00,2.900013259309271874e+01,9.579776900102533466e-01
3.716536312849162016e+01,1.635970311274499522e+01,4.673728670081722214e+00,7.208287290206937925e+00,3.080395965225602950e+01,9.628604511991785131e-01
3.766759776536312643e+01,1.632822666138742562e+01,4.686573217681145209e+00,7.621630597609952318e+00,3.270788581906678161e+01,9.674472883303266713e-01
3.816983240223463980e+01,1.628922058926299954e+01,4.696936756757175147e+00,8.050095957875280206e+00,3.468254521034068460e+01,9.717367916921924031e-01
3.867206703910614607e+01,1.624280476406219265e+01,4.704652437039635871e+00,8.480147551445782028e+00,3.665551320397702995e+01,9.757276429553759511e-01
3.917430167597765234e+01,1.618921296595102888e+01,4.709556681009319234e+00,8.889443035080857314e+00,3.849592684127011921e+01,9.794186155777567793e-01
3.967653631284915861e+01,1.612880170240055122e+01,4.711476069707787317e+00,9.241375900858372461e+00,3.998910101037551357e+01,9.828085751814567006e-01
4.017877094972067198e+01,1.606205672781808502e+01,4.710189428845867887e+00,9.473626234701615800e+00,4.080023529665260185e+01,9.858964799014781066e-01
4.068100558659217825e+01,1.598959655478865471e+01,4.705315175118085946e+00,9.468877011691800405e+00,4.036905428867567736e+01,9.886813807059089410e-01
4.118324022346368452e+01,1.591217224218158854e+01,4.695902297290189154e+00,8.954390299732272851e+00,3.741234429425016828e+01,9.911624216875976057e-01
4.168547486033519789e+01,1.583066325400261931e+01,4.677568437986345806e+00,6.766825015805477683e+00,2.520350583145709678e+01,9.933388403272049860e-01
4.218770949720671126e+01,1.574594737346011186e+01,4.652555941613267798e+00,3.853856859244764177e+00,4.216418767399831680e+00,9.952099677275565437e-01
4.268994413407821042e+01,1.565957560503548152e+01,4.635775501473881732e+00,3.901183283729314777e+00,4.215258465939797361e+00,9.967752288192198717e-01
4.319217877094972380e+01,1.557224546653096553e+01,4.693238334083471130e+00,3.954925640868378611e+00,4.238396066671523243e+00,9.980341425372465380e-01
4.369441340782123007e+01,1.548538801832727252e+01,5.086817932045661905e+00,4.012915841833319952e+00,4.275889592311687970e+00,9.989863219690205964e-01
4.419664804469273633e+01,1.540032592923864563e+01,4.923662803344763361e+00,4.073991842019419884e+00,4.306101599255263146e+00,9.996314744731721325e-01
